Step,Action,Reward
0,0,1.0
1,4,0.0
2,3,0.0
3,2,-2.0
4,0,1.0
5,4,0.0
6,2,-2.0
7,4,0.0
8,4,0.0
9,0,1.0
10,4,0.0
11,4,0.0
12,4,0.0
13,0,-1.0
14,0,1.0
15,4,0.0
16,4,0.0
17,0,-2.0
18,0,2.0
19,4,1.0
20,4,0.0
21,0,2.0
22,4,1.0
23,4,0.0
24,4,1.0
25,4,0.0
26,4,0.0
27,1,1.0
28,4,0.0
29,4,1.0
30,4,0.0
31,0,-1.0
32,0,1.0
33,0,-2.0
34,0,1.0
35,4,0.0
36,0,2.0
37,4,1.0
38,4,1.0
39,4,1.0
40,2,2.0
41,4,0.0
42,0,-1.0
43,0,1.0
44,4,1.0
45,4,1.0
46,0,-1.0
47,0,0.0
48,4,0.0
49,0,1.0
50,0,1.0
51,0,2.0
52,4,0.0
53,0,0.0
54,2,1.0
55,3,0.0
56,0,2.0
57,4,0.0
58,0,1.0
59,0,2.0
60,4,0.0
61,0,1.0
62,4,1.0
63,3,0.0
64,4,0.0
65,4,1.0
66,0,1.0
67,4,1.0
68,4,1.0
69,4,0.0
70,4,1.0
71,0,-2.0
72,0,-1.0
73,4,0.0
74,3,0.0
75,3,-2.0
76,0,1.0
77,0,2.0
78,4,1.0
79,4,1.0
80,4,1.0
81,4,1.0
82,4,1.0
83,4,1.0
84,0,-1.0
85,4,1.0
86,4,1.0
87,4,0.0
88,2,0.0
89,0,1.0
90,0,2.0
91,4,0.0
92,4,0.0
93,0,2.0
94,4,1.0
95,4,1.0
96,2,-2.0
97,0,2.0
98,4,1.0
99,2,-1.0
100,0,-1.0
101,0,1.0
102,0,1.0
103,4,0.0
104,0,2.0
105,4,0.0
106,4,1.0
107,4,0.0
108,2,-2.0
109,0,2.0
110,0,-1.0
111,4,0.0
112,4,1.0
113,4,0.0
114,0,2.0
115,4,0.0
116,0,1.0
117,0,2.0
118,0,0.0
119,4,0.0
120,0,1.0
121,0,1.0
122,4,0.0
123,4,0.0
124,2,0.0
125,0,1.0
126,0,-1.0
127,0,1.0
128,0,1.0
129,0,-2.0
130,2,1.0
131,4,1.0
132,4,1.0
133,0,1.0
134,4,1.0
135,4,1.0
136,4,0.0
137,0,2.0
138,0,1.0
139,4,1.0
140,4,1.0
141,4,0.0
142,4,0.0
143,0,1.0
144,0,1.0
145,0,-2.0
146,0,-1.0
147,0,2.0
148,4,1.0
149,0,-1.0
150,0,0.0
151,4,1.0
152,4,1.0
153,2,0.0
154,0,1.0
155,0,-1.0
156,4,1.0
157,4,1.0
158,0,-1.0
159,0,3.0
160,4,1.0
161,4,0.0
162,0,1.0
163,1,0.0
164,0,1.0
165,0,-1.0
166,0,0.0
167,4,0.0
168,0,0.0
169,4,0.0
170,0,1.0
171,0,1.0
172,4,1.0
173,4,1.0
174,4,1.0
175,4,1.0
176,4,0.0
177,4,1.0
178,2,-1.0
179,4,1.0
180,4,0.0
181,1,0.0
182,0,-1.0
183,4,1.0
184,4,1.0
185,4,0.0
186,4,1.0
187,2,0.0
188,4,1.0
189,3,0.0
190,4,0.0
191,0,-1.0
192,0,-1.0
193,4,0.0
194,0,2.0
195,4,1.0
196,4,1.0
197,0,-2.0
198,2,0.0
199,0,-1.0
200,4,1.0
201,4,1.0
202,4,0.0
203,4,0.0
204,0,2.0
205,4,1.0
206,4,0.0
207,0,-2.0
208,0,-1.0
209,0,1.0
210,0,0.0
211,0,0.0
212,4,0.0
213,0,1.0
214,0,-1.0
215,1,0.0
216,0,2.0
217,4,0.0
218,0,1.0
219,0,2.0
220,4,0.0
221,1,0.0
222,4,1.0
223,2,-2.0
224,4,0.0
225,4,0.0
226,0,2.0
227,0,-1.0
228,4,3.0
229,4,1.0
230,4,0.0
231,0,1.0
232,4,1.0
233,2,0.0
234,0,1.0
235,3,1.0
236,0,1.0
237,0,1.0
238,0,-1.0
239,0,2.0
240,4,1.0
241,4,0.0
242,0,0.0
243,0,-1.0
244,4,1.0
245,4,1.0
246,2,1.0
247,4,0.0
248,0,1.0
249,0,1.0
250,4,0.0
251,0,-1.0
252,4,1.0
253,4,1.0
254,0,-2.0
255,0,2.0
256,4,0.0
257,4,0.0
258,0,2.0
259,4,1.0
260,4,1.0
261,4,0.0
262,0,-1.0
263,0,2.0
264,4,2.0
265,4,0.0
266,0,-2.0
267,0,-1.0
268,0,1.0
269,0,1.0
270,0,0.0
271,4,1.0
272,4,0.0
273,4,0.0
274,0,-1.0
275,0,2.0
276,2,-1.0
277,4,1.0
278,0,2.0
279,4,0.0
280,0,1.0
281,3,0.0
282,4,1.0
283,4,1.0
284,0,-2.0
285,0,2.0
286,2,1.0
287,4,0.0
288,0,1.0
289,2,1.0
290,4,0.0
291,0,1.0
292,0,2.0
293,4,2.0
294,4,1.0
295,4,0.0
296,0,-1.0
297,0,1.0
298,0,2.0
299,4,1.0
300,4,1.0
301,4,1.0
302,4,0.0
303,4,0.0
304,4,1.0
305,4,1.0
306,4,1.0
307,4,0.0
308,4,1.0
309,0,-1.0
310,0,-2.0
311,4,1.0
312,4,1.0
313,4,0.0
314,0,2.0
315,3,0.0
316,0,2.0
317,4,0.0
318,4,0.0
319,4,0.0
320,0,2.0
321,4,1.0
322,4,1.0
323,4,0.0
324,0,2.0
325,0,-2.0
326,0,2.0
327,0,2.0
328,4,0.0
329,0,1.0
330,4,1.0
331,4,0.0
332,3,0.0
333,4,0.0
334,0,-1.0
335,0,1.0
336,0,3.0
337,4,0.0
338,4,1.0
339,4,1.0
340,4,0.0
341,4,1.0
342,0,-1.0
343,4,2.0
344,4,1.0
345,4,2.0
346,1,0.0
347,3,0.0
348,0,1.0
349,0,-1.0
350,0,0.0
351,4,2.0
352,4,1.0
353,4,0.0
354,4,1.0
355,4,1.0
356,0,0.0
357,4,1.0
358,0,0.0
359,0,1.0
360,4,1.0
361,4,0.0
362,4,0.0
363,2,-1.0
364,1,0.0
365,4,0.0
366,0,2.0
367,4,1.0
368,4,1.0
369,4,1.0
370,4,1.0
371,0,2.0
372,4,0.0
373,0,-1.0
374,3,0.0
375,2,1.0
376,4,0.0
377,4,-2.0
378,4,1.0
379,4,1.0
380,4,1.0
381,2,-2.0
382,4,0.0
383,4,1.0
384,4,0.0
385,4,0.0
386,4,-1.0
387,0,0.0
388,4,0.0
389,0,2.0
390,4,0.0
391,0,1.0
392,0,1.0
393,0,1.0
394,4,2.0
395,4,0.0
396,0,2.0
397,0,1.0
398,0,2.0
399,4,0.0
400,0,-2.0
401,0,2.0
402,4,0.0
403,0,2.0
404,0,3.0
405,0,2.0
406,4,0.0
407,0,1.0
408,0,0.0
409,4,0.0
410,0,1.0
411,0,-1.0
412,4,0.0
413,3,1.0
414,0,2.0
415,4,1.0
416,2,0.0
417,0,1.0
418,0,2.0
419,0,-1.0
420,4,1.0
421,4,1.0
422,4,0.0
423,0,-1.0
424,4,1.0
425,4,0.0
426,0,0.0
427,0,-1.0
428,0,2.0
429,0,-2.0
430,0,0.0
431,0,1.0
432,0,2.0
433,0,2.0
434,4,0.0
435,0,2.0
436,4,1.0
437,2,0.0
438,0,3.0
439,4,0.0
440,4,0.0
441,0,0.0
442,4,1.0
443,0,1.0
444,4,1.0
445,4,1.0
446,0,-1.0
447,4,1.0
448,0,-2.0
449,0,1.0
450,4,0.0
451,0,-1.0
452,0,-2.0
453,4,0.0
454,0,0.0
455,2,-2.0
456,0,2.0
457,4,1.0
458,4,1.0
459,4,-1.0
460,0,2.0
461,0,-2.0
462,0,0.0
463,4,1.0
464,4,1.0
465,4,2.0
466,0,-1.0
467,4,1.0
468,4,1.0
469,0,-1.0
470,0,-1.0
471,4,0.0
472,0,2.0
473,4,1.0
474,0,1.0
475,4,1.0
476,3,0.0
477,3,0.0
478,4,1.0
479,4,0.0
480,1,0.0
481,0,1.0
482,4,0.0
483,0,-1.0
484,2,0.0
485,0,-1.0
486,0,-1.0
487,0,1.0
488,0,1.0
489,0,2.0
490,4,0.0
491,4,0.0
492,1,1.0
493,4,0.0
494,4,0.0
495,0,3.0
496,4,1.0
497,2,-2.0
498,0,1.0
499,0,2.0
500,4,0.0
501,4,0.0
502,4,0.0
503,0,2.0
504,4,0.0
505,3,0.0
506,0,1.0
507,4,0.0
508,0,2.0
509,0,2.0
510,1,-2.0
511,2,0.0
512,0,1.0
513,4,1.0
514,4,0.0
515,0,1.0
516,0,2.0
517,0,-2.0
518,0,1.0
519,0,0.0
520,4,0.0
521,2,-1.0
522,4,0.0
523,4,0.0
524,2,0.0
525,4,0.0
526,0,1.0
527,0,1.0
528,4,0.0
529,0,1.0
530,4,0.0
531,4,0.0
532,4,1.0
533,4,0.0
534,0,0.0
535,2,1.0
536,0,1.0
537,0,1.0
538,0,1.0
539,4,2.0
540,2,0.0
541,0,-2.0
542,0,2.0
543,2,0.0
544,0,2.0
545,0,3.0
546,4,1.0
547,0,1.0
548,0,-1.0
549,2,0.0
550,0,1.0
551,4,0.0
552,0,1.0
553,0,1.0
554,4,0.0
555,0,1.0
556,4,1.0
557,4,0.0
558,0,1.0
559,2,0.0
560,0,2.0
561,4,0.0
562,0,-1.0
563,0,0.0
564,4,0.0
565,0,-1.0
566,0,2.0
567,0,0.0
568,4,0.0
569,4,0.0
570,4,1.0
571,4,0.0
572,4,1.0
573,4,0.0
574,4,1.0
575,4,1.0
576,4,0.0
577,0,-2.0
578,0,2.0
579,4,1.0
580,4,1.0
581,4,0.0
582,4,0.0
583,0,2.0
584,4,0.0
585,0,2.0
586,1,0.0
587,4,1.0
588,4,1.0
589,4,0.0
590,2,1.0
591,4,1.0
592,3,0.0
593,0,1.0
594,0,2.0
595,0,0.0
596,4,2.0
597,4,1.0
598,4,0.0
599,0,-1.0
600,0,2.0
601,4,0.0
602,4,0.0
603,0,1.0
604,4,0.0
605,3,1.0
606,0,1.0
607,4,1.0
608,4,0.0
609,0,1.0
610,0,1.0
611,0,2.0
612,4,0.0
613,0,3.0
614,0,-1.0
615,0,1.0
616,4,1.0
617,0,-1.0
618,0,-1.0
619,4,0.0
620,0,3.0
621,4,1.0
622,0,2.0
623,4,1.0
624,2,-1.0
625,4,0.0
626,4,0.0
627,4,0.0
628,4,1.0
629,2,-2.0
630,0,-2.0
631,0,-1.0
632,0,-2.0
633,0,1.0
634,0,-2.0
635,0,2.0
636,4,1.0
637,0,0.0
638,4,1.0
639,4,0.0
640,0,1.0
641,0,2.0
642,2,-2.0
643,0,-1.0
644,4,0.0
645,0,1.0
646,4,0.0
647,4,1.0
648,4,0.0
649,0,-1.0
650,4,-2.0
651,4,0.0
652,4,0.0
653,0,3.0
654,0,3.0
655,4,0.0
656,0,2.0
657,4,0.0
658,0,0.0
659,0,-2.0
660,0,1.0
661,4,0.0
662,0,0.0
663,4,1.0
664,0,1.0
665,0,1.0
666,0,1.0
667,4,0.0
668,0,-1.0
669,4,1.0
670,3,0.0
671,0,3.0
672,4,0.0
673,4,0.0
674,3,1.0
675,4,0.0
676,0,-1.0
677,4,0.0
678,0,-1.0
679,4,0.0
680,2,0.0
681,2,-2.0
682,0,-2.0
683,0,1.0
684,0,2.0
685,0,2.0
686,4,0.0
687,0,2.0
688,0,-1.0
689,2,0.0
690,4,0.0
691,0,1.0
692,0,-2.0
693,4,2.0
694,2,-1.0
695,2,1.0
696,4,1.0
697,2,0.0
698,2,0.0
699,1,0.0
700,4,1.0
701,4,0.0
702,0,-1.0
703,4,1.0
704,2,-2.0
705,0,-2.0
706,0,2.0
707,4,1.0
708,4,1.0
709,4,0.0
710,2,1.0
711,1,0.0
712,0,2.0
713,0,1.0
714,0,1.0
715,0,1.0
716,2,0.0
717,4,1.0
718,4,0.0
719,0,1.0
720,3,1.0
721,4,0.0
722,0,1.0
723,0,2.0
724,4,0.0
725,0,2.0
726,4,1.0
727,4,1.0
728,4,1.0
729,4,1.0
730,4,0.0
731,3,1.0
732,4,0.0
733,4,1.0
734,4,0.0
735,0,1.0
736,4,1.0
737,4,0.0
738,2,2.0
739,4,1.0
740,0,-2.0
741,0,1.0
742,0,-2.0
743,4,1.0
744,0,1.0
745,0,-1.0
746,4,1.0
747,4,1.0
748,4,2.0
749,4,1.0
750,0,-1.0
751,0,3.0
752,4,1.0
753,4,0.0
754,4,0.0
755,4,0.0
756,0,2.0
757,4,1.0
758,2,0.0
759,2,0.0
760,4,1.0
761,4,0.0
762,0,1.0
763,0,-1.0
764,4,1.0
765,0,0.0
766,4,1.0
767,0,-1.0
768,0,1.0
769,0,-1.0
770,0,1.0
771,0,-1.0
772,4,0.0
773,2,1.0
774,1,0.0
775,0,1.0
776,0,1.0
777,4,0.0
778,4,0.0
779,3,0.0
780,0,2.0
781,4,0.0
782,2,0.0
783,0,2.0
784,4,0.0
785,4,1.0
786,4,0.0
787,4,1.0
788,4,1.0
789,4,1.0
790,2,-2.0
791,2,-1.0
792,4,0.0
793,4,0.0
794,0,2.0
795,4,0.0
796,4,1.0
797,4,0.0
798,0,1.0
799,2,0.0
800,3,1.0
801,4,0.0
802,4,0.0
803,0,2.0
804,4,1.0
805,4,1.0
806,4,0.0
807,4,0.0
808,4,2.0
809,4,0.0
810,0,1.0
811,4,2.0
812,4,0.0
813,0,2.0
814,0,1.0
815,0,0.0
816,4,1.0
817,4,1.0
818,4,0.0
819,0,2.0
820,2,1.0
821,2,-2.0
822,0,2.0
823,4,0.0
824,0,-1.0
825,2,1.0
826,4,2.0
827,4,0.0
828,0,2.0
829,2,-2.0
830,4,1.0
831,4,0.0
832,0,-2.0
833,0,-1.0
834,0,0.0
835,2,-2.0
836,0,1.0
837,0,2.0
838,4,1.0
839,0,-1.0
840,4,0.0
841,0,2.0
842,4,0.0
843,0,1.0
844,2,-2.0
845,0,1.0
846,0,-1.0
847,4,0.0
848,0,2.0
849,4,0.0
850,0,2.0
851,4,0.0
852,3,0.0
853,0,1.0
854,4,1.0
855,4,0.0
856,0,0.0
857,4,0.0
858,4,1.0
859,4,1.0
860,4,1.0
861,4,0.0
862,0,-2.0
863,0,1.0
864,0,1.0
865,0,1.0
866,0,1.0
867,0,2.0
868,4,1.0
869,4,0.0
870,0,1.0
871,4,0.0
872,4,0.0
873,0,3.0
874,4,0.0
875,0,1.0
876,0,2.0
877,4,1.0
878,0,0.0
879,4,1.0
880,2,1.0
881,4,2.0
882,4,0.0
883,4,0.0
884,2,-2.0
885,3,0.0
886,0,2.0
887,4,1.0
888,4,1.0
889,3,0.0
890,0,2.0
891,4,0.0
892,4,1.0
893,2,-2.0
894,0,1.0
895,0,2.0
896,4,1.0
897,0,2.0
898,4,1.0
899,4,0.0
900,0,2.0
901,4,0.0
902,0,2.0
903,4,0.0
904,4,0.0
905,0,2.0
906,4,0.0
907,4,1.0
908,4,0.0
909,0,1.0
910,4,1.0
911,4,0.0
912,0,2.0
913,4,1.0
914,4,1.0
915,4,0.0
916,4,1.0
917,4,0.0
918,0,1.0
919,0,2.0
920,4,0.0
921,0,2.0
922,4,0.0
923,4,1.0
924,4,1.0
925,4,1.0
926,4,1.0
927,2,-2.0
928,0,2.0
929,0,2.0
930,4,0.0
931,0,2.0
932,4,1.0
933,4,0.0
934,0,1.0
935,4,2.0
936,4,0.0
937,0,1.0
938,4,0.0
939,0,1.0
940,4,0.0
941,0,1.0
942,0,2.0
943,4,0.0
944,4,2.0
945,4,1.0
946,4,0.0
947,4,1.0
948,4,0.0
949,0,1.0
950,0,-1.0
951,4,1.0
952,4,0.0
953,0,-1.0
954,4,0.0
955,0,-1.0
956,0,1.0
957,0,2.0
958,2,-1.0
959,0,-5.0
960,0,1.0
961,2,1.0
962,2,-1.0
963,4,0.0
964,0,1.0
965,0,1.0
966,4,-1.0
967,4,-1.0
968,0,2.0
969,1,0.0
970,4,0.0
971,0,1.0
972,0,2.0
973,4,0.0
974,0,1.0
975,0,1.0
976,4,0.0
977,0,0.0
978,4,1.0
979,4,1.0
980,0,-2.0
981,3,1.0
982,4,0.0
983,0,1.0
984,3,0.0
985,0,1.0
986,0,0.0
987,4,0.0
988,2,1.0
989,4,1.0
990,4,0.0
991,4,0.0
992,4,1.0
993,4,0.0
994,2,0.0
995,0,1.0
996,0,-2.0
997,0,0.0
998,1,1.0
999,4,0.0
1000,0,1.0
1001,0,0.0
1002,4,0.0
1003,0,2.0
1004,0,-2.0
1005,0,2.0
1006,4,0.0
1007,3,0.0
1008,0,1.0
1009,0,1.0
1010,4,1.0
1011,4,0.0
1012,0,2.0
1013,4,1.0
1014,4,0.0
1015,0,0.0
1016,1,1.0
1017,4,1.0
1018,4,0.0
1019,3,0.0
1020,0,0.0
1021,4,1.0
1022,2,-2.0
