Step,Action,Reward
0,0,0
1,2,-1.0810810811
2,2,-1.5015015015
3,2,-2.7027027027
4,2,-1.0810810811
5,2,-1.0810810811
6,2,-14.1141141141
7,2,-1.0810810811
8,2,-1.0810810811
9,1,-76.79066666669999
10,2,-1.0810810811
11,2,-1.0810810811
12,2,-1.0810810811
13,2,-14.1141141141
14,2,-14.8047450595
15,2,-1.0810810811
16,2,-100
17,2,-1.0810810811
18,2,-1.0810810811
19,2,-1.7404332958
20,2,-1.0810810811
21,2,-3.0337233515
22,2,-1.0810810811
23,2,-1.7978071717000002
24,2,-1.0810810811
25,2,-1.0810810811
26,2,-1.5015015015
27,2,-1.0810810811
28,2,-1.6533777148
29,2,-1.0810810811
30,2,-1.0810810811
31,2,-1.0810810811
32,2,-1.0810810811
33,2,-1.0810810811
34,2,-1.0810810811
35,2,-1.0810810811
36,2,-1.0810810811
37,2,-1.0810810811
38,2,-1.0810810811
39,2,-14.1141141141
40,2,-14.1141141141
41,2,-15.1374879164
42,2,-14.1141141141
43,2,-1.3710429371000015
44,2,-14.262396642
45,0,0
46,2,-1.0810810811
47,2,-14.1141141141
48,2,-1.0810810811
49,2,-1.0810810811
50,2,-1.0810810811
51,2,-1.0810810811
52,2,-12.9423849184
53,2,-1.0810810811
54,2,-1.0810810811
55,2,-14.1141141141
56,2,-1.5015015015
57,2,-14.9633011622
58,2,-11.1047697387
59,2,-1.0810810811
60,2,-1.0810810811
61,2,-3.7190722485
62,2,-10.0696777702
63,2,-4.1648901733
64,2,-4.4507337156
65,2,-2.7027027027
66,2,-11.789659179000001
67,2,-1.0810810811
68,2,-7.2931080909
69,2,-1.0810810811
70,2,-1.0810810811
71,2,-2.7027027027
72,2,-9.0851227759
73,2,-11.815825571800001
74,2,-1.5652408875
75,2,-14.9108323124
76,2,-1.5015015015
77,2,-1.0810810811
78,2,-10.8108108108
79,2,-1.0810810811
80,2,-1.8800324888000006
81,2,-2.7027027027
82,2,-1.0810810811
83,2,-1.0810810811
84,2,-6.7238434881
85,2,-4.050657501
86,2,-2.9673780252999995
87,2,-1.0810810811
88,2,-4.3926067058
89,2,-4.826378955999999
90,2,-1.0810810811
91,2,-1.0810810811
92,2,-14.1141141141
93,2,-14.2293417618
94,2,-1.0810810811
95,2,-1.0810810811
96,2,-4.3583366751999995
97,2,-1.0810810811
98,2,-1.0810810811
99,0,0
100,2,-1.0810810811
101,2,-1.0810810811
102,2,-1.0810810811
103,2,-1.5015015015
104,2,-1.0810810811
105,2,-1.0810810811
106,2,-2.7027027027
107,2,-1.0810810811
108,2,-14.1141141141
109,2,-1.0810810811
110,2,-1.0810810811
111,2,-1.0810810811
112,2,-1.0810810811
113,2,-1.0810810811
114,2,-1.6519454078
115,2,-1.0810810811
116,2,-1.0810810811
117,2,-1.0810810811
118,2,-1.0810810811
119,1,-76.79066666669999
120,2,-1.0810810811
121,2,-1.0810810811
