Step,APP,Action,Reward
0,0,0,-120
1,0,0,-20
2,5,1,-20
3,5,2,-1.5015015015
4,2,2,-14.1141141141
5,4,2,-2.7027027027
6,5,0,-20
7,5,2,-1.5015015015
8,4,1,-120
9,0,0,-136.7652666667
10,4,2,-2.7027027027
11,0,2,-1.0810810811
12,4,2,-14.163376322
13,3,2,-14.2057484872
14,5,1,-150
15,4,2,-2.7027027027
16,0,2,-1.0810810811
17,1,2,-10.8108108108
18,5,2,-3.687291754
19,0,2,-1.0810810811
20,1,2,-10.8108108108
21,5,2,-1.5015015015
22,4,2,-2.7027027027
23,5,2,-1.5015015015
24,0,2,-1.0810810811
25,0,1,-76.79066666669999
26,2,2,-14.9856563999
27,0,0,-20
28,5,2,-1.5015015015
29,0,0,-120
30,0,2,-1.0810810811
31,1,2,-10.8108108108
32,0,0,-120
33,0,0,-120
34,0,2,-9.5134660323
35,2,0,-150
36,4,1,-120
37,0,1,-76.79066666669999
38,0,1,-76.79066666669999
39,0,2,-1.0810810811
40,5,1,-120
41,0,2,-1.0810810811
42,5,1,-20
43,5,2,-12.5503347535
44,0,2,-13.2296918348
45,4,0,-120
46,0,2,-4.269140031999999
47,0,0,-136.7652666667
48,4,2,-2.7027027027
49,0,2,-7.435158245099999
50,1,0,-10
51,1,0,-120
52,0,2,-1.0810810811
53,0,2,-1.9917222656
54,0,2,-1.0810810811
55,2,2,-14.1141141141
56,0,1,-76.79066666669999
57,0,1,-10
58,1,2,-11.6216137222
59,0,2,-1.2844282874
60,5,1,-100
61,2,2,-100
62,4,2,-2.7027027027
63,0,2,-1.0810810811
64,0,2,-1.0810810811
65,0,0,-20
66,5,2,-1.5015015015
67,0,1,-76.79066666669999
68,0,2,-6.5707160908
69,0,2,-1.0810810811
70,0,2,-2.0742153022
71,5,1,-120
72,0,2,-1.0810810811
73,0,1,-78.59373891929997
74,0,1,-78.65247630179996
75,2,2,-14.1141141141
76,0,2,-7.637843532799999
77,0,2,-3.763384144499998
78,1,2,-14.381832609099998
79,4,0,-120
80,0,1,-76.79066666669999
81,0,2,-1.0810810811
82,0,2,-1.0810810811
83,0,0,-10
84,1,2,-10
85,3,2,-1.2842469252
86,0,1,-76.79066666669999
87,2,0,-120
88,0,1,-76.79066666669999
89,0,2,-13.461366284299999
90,0,1,-76.79066666669999
91,0,2,-1.0810810811
92,5,2,-1.5015015015
93,4,0,-20
94,5,2,-1.7523812482999999
95,0,0,-120
96,0,0,-10
97,1,2,-10
98,1,0,-10
99,1,1,-10
100,0,2,-1.0810810811
101,0,0,-120
102,0,0,-100
103,2,2,-14.1141141141
104,0,2,-1.0810810811
105,0,0,-120
106,0,0,-120
107,0,1,-76.79066666669999
108,0,1,-76.79066666669999
109,0,2,-1.0810810811
110,4,1,-20
111,5,1,-166.8373333333
112,3,0,-93.3643333334
113,0,1,-20
114,5,0,-20
115,5,0,-120
116,0,1,-76.79066666669999
117,0,2,-1.0810810811
118,1,2,-10.8108108108
119,0,2,-1.0810810811
120,1,0,-120
121,0,2,-1.0810810811
122,0,1,-76.79066666669999
123,0,0,-120
124,0,2,-1.0810810811
125,1,2,-13.124485669999999
126,0,0,-120
127,0,1,-76.79066666669999
128,0,2,-1.0810810811
129,3,1,-20
130,5,2,-8.3599046149
131,5,2,-1.5015015015
132,2,2,-14.1141141141
133,0,0,-100
134,2,2,-15.0971465556
135,5,2,-1.5015015015
136,4,2,-2.7027027027
137,0,2,-9.6125388842
138,1,0,-20
139,5,1,-120
140,0,1,-76.79066666669999
141,2,0,-120
142,0,1,-76.79066666669999
143,0,0,-120
144,0,1,-76.79066666669999
145,0,1,-10
146,1,2,-10.8108108108
147,0,2,-1.0810810811
148,0,2,-1.0810810811
149,5,2,-1.5015015015
150,0,1,-76.79066666669999
151,4,2,-2.7027027027
152,0,0,-20
153,5,2,-1.5015015015
154,0,0,-20
155,5,2,-1.5015015015
156,4,1,-120
157,0,2,-1.0810810811
158,0,2,-1.0810810811
159,1,1,-10
160,4,0,-120
161,0,2,-5.945025476299999
162,0,2,-1.0810810811
163,0,2,-1.0810810811
164,0,1,-20
165,5,2,-6.556976614699999
166,0,2,-1.0810810811
167,0,1,-76.79066666669999
168,0,1,-76.79066666669999
169,2,2,-14.1141141141
