Step,APP,Action,Reward
0,0,0,-17.7652666667
1,0,0,-17.7652666667
2,0,1,-7.7906666667
3,5,1,-16.8373333333
4,0,2,-10.8108108108
5,4,2,-1500
6,2,2,-1000
7,0,2,-10.8108108108
8,0,0,-17.7652666667
9,0,0,-17.7652666667
10,0,2,-10.8108108108
11,0,0,-17.7652666667
12,5,2,-15.015015015
13,0,0,-17.7652666667
14,0,0,-17.7652666667
15,4,0,-26.3053066667
16,0,2,-10.8108108108
17,4,2,-1500
18,0,1,-7.7906666667
19,0,2,-10.8108108108
20,0,2,-19.8962061382
21,0,1,-7.7906666667
22,0,2,-10.8108108108
23,0,2,-17.1503918284
24,0,0,-17.7652666667
25,0,2,-10.8108108108
26,4,1,-16.3706666667
27,0,2,-1200
28,0,1,-7.7906666667
29,0,0,-17.7652666667
30,0,0,-17.7652666667
31,2,1,-86.5706666667
32,2,0,-96.22999999999999
33,0,2,-1200
34,0,0,-17.7652666667
35,0,2,-10.8108108108
36,0,2,-10.8108108108
37,0,1,-7.7906666667
38,0,2,-10.8108108108
39,0,2,-17.3803105955
40,2,2,-1000
41,0,0,-17.7652666667
42,2,2,-1000
43,0,2,-10.8108108108
44,0,2,-19.8392332273
45,0,0,-17.7652666667
46,5,1,-16.8373333333
47,0,2,-14.0383832088
48,0,0,-17.7652666667
49,0,1,-7.7906666667
50,2,1,-86.5706666667
51,2,2,-1000
52,5,2,-200
53,5,1,-16.8373333333
54,0,0,-17.7652666667
55,0,1,-7.7906666667
56,0,2,-10.8108108108
57,0,0,-17.7652666667
58,4,1,-16.3706666667
59,0,0,-17.7652666667
60,0,1,-7.7906666667
61,0,1,-7.7906666667
62,5,0,-26.8056666666
63,2,1,-86.5706666667
64,0,2,-14.965826719599999
65,2,0,-96.22999999999999
66,4,0,-26.3053066667
67,0,2,-18.694375592599997
68,0,0,-17.7652666667
69,0,0,-17.7652666667
70,0,0,-17.7652666667
71,1,1,-62.870666666700004
72,2,2,-1000
73,0,1,-7.7906666667
74,4,2,-1500
75,0,2,-10.8108108108
76,0,0,-17.7652666667
77,0,2,-10.8108108108
78,0,0,-17.7652666667
79,0,1,-7.7906666667
80,0,2,-10.8108108108
81,0,0,-17.7652666667
82,0,2,-10.8108108108
83,0,2,-17.3760952146
84,0,1,-7.7906666667
85,5,1,-16.8373333333
86,0,0,-17.7652666667
87,0,0,-17.7652666667
88,0,2,-19.911069644499996
89,0,0,-17.7652666667
90,0,1,-7.7906666667
91,0,0,-17.7652666667
92,0,1,-7.7906666667
93,0,1,-7.7906666667
94,0,1,-7.7906666667
95,0,1,-7.7906666667
96,2,2,-1000
97,0,2,-12.9988552468
98,0,1,-7.7906666667
99,4,0,-26.3053066667
100,0,0,-17.7652666667
101,0,0,-17.7652666667
102,0,2,-1200
103,0,0,-17.7652666667
104,0,2,-10.8108108108
105,0,1,-7.7906666667
106,0,0,-17.7652666667
107,5,1,-16.8373333333
108,0,1,-7.7906666667
109,0,1,-7.7906666667
110,4,2,-1500
111,4,1,-16.3706666667
112,0,1,-7.7906666667
113,0,0,-17.7652666667
114,2,2,-1000
115,0,2,-10.8108108108
116,0,2,-10.8108108108
117,0,1,-7.7906666667
118,4,2,-1500
119,0,2,-10.8108108108
120,0,0,-17.7652666667
121,0,1,-7.7906666667
122,0,1,-7.7906666667
123,5,0,-26.8056666666
124,0,0,-17.7652666667
125,0,2,-10.8108108108
126,0,0,-17.7652666667
127,0,0,-17.7652666667
128,0,0,-17.7652666667
129,0,0,-17.7652666667
130,0,0,-17.7652666667
131,0,1,-7.7906666667
132,0,0,-17.7652666667
133,0,1,-7.7906666667
134,2,0,-96.22999999999999
135,0,2,-14.866499746699999
136,4,0,-26.3053066667
137,0,1,-7.7906666667
138,0,0,-17.7652666667
139,5,1,-16.8373333333
140,0,1,-7.7906666667
141,0,1,-7.7906666667
142,0,0,-17.7652666667
143,0,2,-10.8108108108
144,2,1,-86.5706666667
145,0,1,-7.7906666667
146,0,2,-10.8108108108
147,2,0,-96.22999999999999
148,0,2,-10.8108108108
149,2,0,-96.22999999999999
150,2,0,-96.22999999999999
151,0,1,-7.7906666667
152,1,0,-72.6076666667
153,4,2,-1500
154,0,0,-17.7652666667
155,0,2,-10.8108108108
156,0,2,-10.8108108108
157,4,2,-1500
158,0,2,-10.8108108108
159,0,1,-7.7906666667
160,0,1,-7.7906666667
161,0,1,-7.7906666667
162,0,0,-17.7652666667
163,0,2,-10.8108108108
164,0,1,-7.7906666667
165,0,0,-17.7652666667
166,0,2,-10.8108108108
167,0,1,-7.7906666667
168,5,0,-26.8056666666
169,0,0,-17.7652666667
170,0,1,-7.7906666667
171,0,1,-7.7906666667
172,0,2,-10.8108108108
173,0,1,-7.7906666667
174,0,2,-10.8108108108
175,0,2,-10.8108108108
176,0,1,-7.7906666667
177,0,1,-7.7906666667
178,2,2,-1000
179,0,1,-7.7906666667
180,0,2,-12.9356880768
181,4,2,-1500
182,0,0,-17.7652666667
183,0,1,-7.7906666667
184,0,1,-7.7906666667
185,0,2,-1200
186,0,0,-17.7652666667
187,0,0,-17.7652666667
188,0,1,-7.7906666667
189,2,0,-96.22999999999999
190,0,2,-10.8108108108
191,0,2,-10.8108108108
192,0,0,-17.7652666667
193,0,1,-7.7906666667
194,5,1,-16.8373333333
195,0,1,-7.7906666667
196,2,1,-86.5706666667
197,0,2,-10.8108108108
198,0,1,-7.7906666667
199,4,0,-26.3053066667
200,0,2,-10.8108108108
201,0,0,-17.7652666667
202,0,1,-7.7906666667
203,0,1,-7.7906666667
204,5,1,-16.8373333333
205,0,2,-10.8108108108
206,0,1,-7.7906666667
207,0,0,-17.7652666667
208,0,0,-17.7652666667
209,4,2,-1500
210,0,1,-7.7906666667
211,2,1,-86.5706666667
212,0,0,-17.7652666667
213,5,2,-15.015015015
214,4,2,-1500
215,5,1,-16.8373333333
216,0,2,-10.8108108108
217,2,2,-1000
218,0,1,-7.7906666667
219,0,2,-10.8108108108
220,4,0,-26.3053066667
221,0,0,-17.7652666667
222,0,1,-7.7906666667
223,0,1,-7.7906666667
224,0,2,-19.338420278199997
225,0,2,-10.8108108108
226,0,0,-17.7652666667
227,0,2,-10.8108108108
228,0,0,-17.7652666667
229,0,0,-17.7652666667
230,0,0,-17.7652666667
231,0,1,-7.7906666667
232,0,0,-17.7652666667
233,4,1,-16.3706666667
234,5,1,-16.8373333333
235,0,1,-7.7906666667
236,4,1,-16.3706666667
237,0,0,-17.7652666667
238,0,2,-10.8108108108
239,0,1,-7.7906666667
240,0,0,-17.7652666667
241,5,2,-15.015015015
242,0,0,-17.7652666667
243,0,2,-1200
244,0,0,-17.7652666667
245,0,2,-10.8108108108
246,0,2,-12.556627572299998
247,0,0,-17.7652666667
248,0,1,-7.7906666667
249,0,2,-10.8108108108
250,5,1,-16.8373333333
251,0,2,-10.8108108108
252,0,2,-10.8719763177
253,0,0,-17.7652666667
254,0,2,-10.8108108108
255,0,0,-17.7652666667
256,0,0,-17.7652666667
257,0,2,-19.8262893759
258,5,1,-16.8373333333
259,0,2,-10.8108108108
260,0,2,-16.8755828588
261,0,2,-19.912410874499997
262,2,1,-86.5706666667
263,0,0,-17.7652666667
264,0,2,-10.8108108108
265,0,2,-10.8108108108
266,0,1,-7.7906666667
267,0,1,-7.7906666667
268,5,2,-15.015015015
269,0,1,-7.7906666667
270,0,2,-1200
271,0,2,-19.4546293908
272,2,2,-1000
273,0,1,-7.7906666667
274,0,2,-10.8108108108
275,0,2,-10.8108108108
276,0,2,-10.8108108108
277,4,2,-1500
278,0,2,-10.8108108108
279,0,0,-17.7652666667
280,0,2,-10.8108108108
281,4,2,-1500
282,0,1,-7.7906666667
283,0,2,-10.8108108108
284,0,2,-1200
285,2,0,-96.22999999999999
286,0,2,-10.8108108108
287,0,1,-7.7906666667
288,0,2,-1200
289,0,2,-10.8108108108
290,0,0,-17.7652666667
291,0,1,-7.7906666667
292,0,1,-7.7906666667
293,0,0,-17.7652666667
294,4,1,-16.3706666667
295,0,0,-17.7652666667
296,0,0,-17.7652666667
297,0,2,-18.6128887886
298,0,2,-10.8108108108
299,0,1,-7.7906666667
300,0,0,-17.7652666667
301,0,2,-14.6289543374
302,0,1,-7.7906666667
303,0,0,-17.7652666667
304,0,0,-17.7652666667
305,2,2,-1000
306,0,0,-17.7652666667
307,0,1,-7.7906666667
308,0,2,-10.8108108108
309,0,2,-1200
310,4,1,-16.3706666667
311,4,0,-26.3053066667
312,0,0,-17.7652666667
313,0,2,-10.8108108108
314,0,0,-17.7652666667
315,0,1,-7.7906666667
316,0,0,-17.7652666667
317,4,2,-1500
318,0,1,-7.7906666667
319,2,0,-96.22999999999999
320,0,2,-10.8108108108
321,5,1,-16.8373333333
322,0,2,-10.8108108108
323,0,0,-17.7652666667
324,2,0,-96.22999999999999
325,0,2,-10.8108108108
326,5,2,-19.0067536771
327,0,2,-10.8108108108
328,0,0,-17.7652666667
329,0,2,-17.7163998512
330,2,1,-86.5706666667
331,2,2,-1000
332,0,0,-17.7652666667
333,0,0,-17.7652666667
334,0,0,-17.7652666667
335,0,0,-17.7652666667
336,0,1,-7.7906666667
337,0,1,-7.7906666667
338,0,0,-17.7652666667
339,0,2,-10.8108108108
340,0,0,-17.7652666667
341,0,0,-17.7652666667
342,0,2,-10.8108108108
343,0,0,-17.7652666667
344,0,2,-10.8108108108
345,0,1,-7.7906666667
346,0,2,-10.8108108108
347,0,0,-17.7652666667
348,4,1,-16.3706666667
349,4,1,-16.3706666667
350,2,1,-86.5706666667
351,4,2,-1500
352,5,0,-26.8056666666
353,0,1,-7.7906666667
354,0,0,-17.7652666667
355,0,2,-18.0660176505
356,0,1,-7.7906666667
357,0,1,-7.8942335455
358,2,1,-86.5706666667
359,0,1,-10.51290738019995
360,5,0,-26.8056666666
361,2,2,-1000
362,0,0,-17.7652666667
363,2,0,-96.22999999999999
364,0,1,-8.61035855529995
365,0,2,-11.379565913899999
366,0,1,-8.664187293999952
367,0,2,-11.4729177699
368,0,1,-8.156724414799951
369,5,2,-15.015015015
370,0,1,-7.7906666667
371,0,2,-10.8108108108
372,2,2,-1000
373,0,0,-17.7652666667
374,0,2,-19.485178925
375,0,2,-10.8108108108
376,0,2,-12.371488979299999
377,0,2,-10.8108108108
378,0,2,-10.8108108108
379,4,1,-16.3706666667
380,0,2,-17.1621895917
381,0,2,-16.3812463443
382,0,0,-17.7652666667
383,0,2,-10.8108108108
384,5,0,-26.8056666666
385,2,0,-96.22999999999999
386,0,1,-7.7906666667
387,0,2,-13.825077014
388,2,2,-1000
389,0,1,-7.7906666667
390,0,0,-17.7652666667
391,0,1,-7.7906666667
392,0,1,-7.7906666667
393,0,1,-7.7906666667
394,0,1,-7.7906666667
395,0,0,-17.7652666667
396,0,0,-17.7652666667
397,0,2,-10.8108108108
398,0,2,-1200
399,0,2,-1200
400,0,1,-7.7906666667
401,0,1,-7.7906666667
402,4,2,-1500
403,0,0,-17.7652666667
404,0,2,-10.8108108108
405,5,1,-16.8373333333
406,0,2,-12.6205159055
407,4,2,-1500
408,0,1,-7.7906666667
409,0,0,-17.7652666667
410,0,2,-19.3437653226
411,0,2,-10.8108108108
412,3,0,-13.364333333400001
413,0,2,-10.8108108108
414,0,0,-17.7652666667
415,0,0,-17.7652666667
416,0,2,-17.764402388199997
417,0,2,-18.973246419299997
418,0,1,-7.7906666667
419,0,2,-10.8108108108
420,0,2,-10.8108108108
421,0,2,-10.8108108108
422,0,0,-17.7652666667
423,0,1,-7.7906666667
424,0,1,-7.7906666667
425,0,2,-18.9557170394
426,0,0,-17.7652666667
427,0,0,-17.7652666667
428,0,1,-7.7906666667
429,4,1,-16.3706666667
430,0,2,-15.024795172800001
431,4,2,-1500
432,2,2,-1000
433,0,1,-7.7906666667
434,0,1,-7.7906666667
435,0,1,-7.7906666667
436,2,2,-1000
437,0,0,-17.7652666667
438,0,2,-15.012565155499999
439,4,2,-1500
440,2,1,-86.5706666667
441,0,2,-10.8108108108
442,2,1,-86.5706666667
443,2,0,-96.22999999999999
444,5,2,-15.015015015
445,0,1,-7.7906666667
