Step,APP,Action,Reward
0,5,1,-16.8373333333
1,5,0,-26.8056666666
2,5,0,-26.8056666666
3,5,0,-26.8056666666
4,0,0,-17.7652666667
5,1,0,-72.6076666667
6,3,0,-13.364333333400001
7,0,0,-17.7652666667
8,2,0,-96.22999999999999
9,0,0,-17.7652666667
10,0,0,-17.7652666667
11,3,0,-13.364333333400001
12,2,0,-96.22999999999999
13,2,0,-96.22999999999999
14,4,0,-26.3053066667
15,1,0,-72.6076666667
16,5,0,-26.8056666666
17,2,0,-96.22999999999999
18,0,0,-17.7652666667
19,1,0,-72.6076666667
20,5,1,-16.8373333333
21,2,0,-96.22999999999999
22,3,0,-13.364333333400001
23,0,0,-17.7652666667
24,0,0,-17.7652666667
25,5,0,-26.8056666666
26,5,0,-26.8056666666
27,0,0,-17.7652666667
28,0,0,-17.7652666667
29,0,0,-17.7652666667
30,0,0,-17.7652666667
31,1,0,-72.6076666667
32,0,0,-17.7652666667
33,5,0,-26.8056666666
34,0,0,-17.7652666667
35,1,0,-72.6076666667
36,3,0,-13.364333333400001
37,3,0,-13.364333333400001
38,1,0,-72.6076666667
39,2,0,-96.22999999999999
40,1,0,-72.6076666667
41,4,0,-26.3053066667
42,1,0,-72.6076666667
43,4,0,-26.3053066667
44,0,0,-17.7652666667
45,0,0,-17.7652666667
46,0,0,-17.7652666667
47,0,0,-17.7652666667
48,0,0,-17.7652666667
49,3,0,-13.364333333400001
50,2,0,-96.22999999999999
51,2,0,-96.22999999999999
52,0,0,-17.7652666667
53,5,0,-26.8056666666
54,5,0,-26.8056666666
55,0,0,-17.7652666667
56,5,0,-26.8056666666
57,2,0,-96.22999999999999
58,0,0,-17.7652666667
59,4,0,-26.3053066667
60,1,0,-72.6076666667
61,4,0,-26.3053066667
62,2,0,-96.22999999999999
63,1,0,-72.6076666667
64,2,0,-96.22999999999999
65,1,0,-72.6076666667
66,1,0,-72.6076666667
67,0,0,-17.7652666667
68,1,1,-62.870666666700004
69,2,0,-96.22999999999999
70,5,0,-26.8056666666
